timestamp,gyroscope-x,gyroscope-y,gyroscope-z,accelorometer-x,accelorometer-y,accelorometer-z,resultant-g,label
1667301268,-26.41,-22.07,33.61,0.63,0.22,1.32,1.48,Fall
1667301268,4.01,20.94,0.5,0.42,0.25,1.3,1.39,Fall
1667301268,18.94,-7.32,-11.52,0.49,0.23,1.38,1.48,Fall
1667301268,8.3,14.87,-5.15,0.46,0.21,1.39,1.48,Fall
1667301268,9.61,-21.72,-10.25,0.45,0.25,1.31,1.4,Fall
1667301268,3.5,8.48,-2.71,0.5,0.26,1.33,1.45,Fall
1667301268,-1.73,13.97,3.29,0.44,0.28,1.32,1.42,Fall
1667301268,-6.58,8.18,1.03,0.41,0.22,1.32,1.4,Fall
1667301269,-1,-0.22,2.37,0.47,0.2,1.31,1.41,Fall
1667301269,3.05,-11.1,-0.54,0.41,0.27,1.25,1.35,Fall
1667301269,-6.81,-12.3,8.61,0.61,0.39,1.54,1.71,Fall
1667301269,-56.75,-60.45,59.71,1.18,0.36,1.2,1.72,Fall
1667301269,33.36,-62.16,119.8,0.54,-0.08,1.07,1.2,Fall
1667301269,115.98,-28.96,41.2,0.35,0.37,1.45,1.53,Fall
1667301269,108.61,-30.01,10.86,0.56,0.54,0.85,1.15,Fall
1667301270,50.36,40.29,38,0.44,0.77,1.07,1.39,Fall
1667301270,51.45,38.43,39.2,0.65,0.75,0.93,1.36,Fall
1667301270,51.26,28.52,44.93,0.71,0.99,0.83,1.48,Fall
1667301270,62.2,24.36,43.69,0.68,1,0.65,1.37,Fall
1667301270,68.65,-2.26,57.11,0.67,1.14,0.62,1.46,Fall
1667301270,32.49,57.19,-4.17,0.69,1.16,0.46,1.43,Fall
1667301270,-53.61,12.75,-83.56,0.9,0.91,0.22,1.3,Fall
1667301270,-64.93,81.82,-128.81,0.82,0.54,0.34,1.05,Fall
1667301271,-12.24,67.91,-41.77,0.6,0.67,0.36,0.96,Fall
1667301271,72.8,-87.29,57.73,0.54,0.77,0.5,1.07,Fall
1667301271,11.25,7.05,67.35,1,1.16,0.66,1.66,Fall
1667301271,9.43,-115.43,77.49,0.61,0.99,0.28,1.19,Fall
1667301271,-12.12,-68.86,-7.61,0.84,0.88,0.27,1.25,Fall
1667301271,17.89,7.78,-17.69,0.57,0.91,0.3,1.11,Fall
1667301271,6.04,-48.31,20.46,0.72,1.14,0.36,1.4,Fall
1667301272,-6.33,-114.35,13.09,0.74,0.96,0.4,1.28,Fall
1667301272,-14.42,-68.89,10.58,0.82,0.93,0.3,1.27,Fall
1667301272,-23.09,-14.7,-3.4,0.65,0.91,0.28,1.15,Fall
1667301272,-22.56,-116.66,21.62,0.69,0.95,0.39,1.23,Fall
1667301272,-37.48,-0.26,13.57,0.88,0.89,0.49,1.34,Fall
1667301272,-105.42,5.24,0.32,0.66,1.59,0.4,1.76,Fall
1667301272,-168.33,79.14,5.45,0.82,0.67,0.81,1.33,Fall
1667301273,-186.67,36.89,-72.75,0.55,0.62,1.3,1.54,Fall
1667301273,-73.33,92.62,-67.76,0.39,-1.75,1.69,2.47,Fall
1667301273,47.42,-249.38,-52.34,2.38,-0.34,1.15,2.66,Fall
1667301273,-22.38,173.24,-104.98,0.92,-0.16,0.9,1.29,Fall
1667301273,-83.94,-116.5,-9.53,1.17,-0.06,1.33,1.77,Fall
1667301273,63.28,-49.35,-4.15,1.24,-0.13,1.73,2.13,Fall
1667301273,-23.64,50.77,26.5,1.15,0.01,1.25,1.7,Fall
1667301273,1.78,13.46,25.09,1.12,-0.19,1.34,1.76,Fall
1667301274,52.73,-0.43,28.18,0.58,0.12,1.4,1.52,Fall
1667301274,27.34,-33.57,30.29,0.67,0.34,1.51,1.69,Fall
1667301274,-15.25,41.51,11.33,0.74,0.15,1.32,1.53,Fall
1667301274,5.99,38.63,15.46,0.63,0.06,1.36,1.5,Fall
1667301274,6.85,-103.15,22.1,0.59,0.1,1.39,1.51,Fall
1667301274,-5.55,47.37,-42.85,0.81,0.1,1.38,1.6,Fall
1667301274,20.49,47.82,-24.91,0.75,0.29,1.45,1.66,Fall
