gyroscope-x,gyroscope-y,gyroscope-z,accelorometer-x,accelorometer-y,accelorometer-z,resultant-g,label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.95,5.37,-8.46,-0.18,0.03,1,1.01,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.43,4.14,-123.61,-0.04,-1.53,0.57,1.64,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.04,-10.21,123.8,-0.37,0.23,0.9,1,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,100.63,-191.17,-0.5,-0.72,0.76,1.16,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-56.89,-34.15,186.15,-0.66,-0.53,0.7,1.1,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.18,8.02,-126.58,-0.23,0.27,1.01,1.07,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.04,23.78,-15.62,0.49,-1.82,0.59,1.97,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-10.53,-7.67,65.1,-0.06,0.09,1.02,1.02,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.86,-2.46,-163.5,-0.08,-1.29,0.77,1.5,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.6,-44.4,131.66,-0.53,-0.11,0.92,1.07,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.21,-0.25,-220.33,-0.6,0.45,1.02,1.27,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.73,-34.57,196.02,-0.02,-1.14,0.75,1.37,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,17.29,-21.24,-0.11,0.02,0.96,0.97,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.13,-36.15,89.37,0.46,-1.76,0.54,1.9,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.53,-41.83,-11.52,-0.06,-0.03,0.99,1,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.15,65.26,-105.18,0.55,-1.63,0.67,1.85,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.3,-45.29,48.88,-0.16,0.08,0.96,0.97,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.68,43.2,-249.69,-0.51,-0.63,0.87,1.19,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-36.24,-61.03,145.23,-0.61,0.01,0.81,1.01,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-18.97,31.46,-249.43,-0.17,-1.01,0.84,1.32,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-14.69,36.07,158.65,-0.28,0.33,0.95,1.05,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.37,77.27,-139.77,0.21,-1.35,0.73,1.55,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.47,7.88,141.9,-0.28,0.26,1.01,1.08,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.48,49.08,-164.97,0.3,-1.23,0.76,1.48,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-15.87,-15.01,90.82,-0.24,0.16,0.95,0.99,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.11,58.28,-155.46,0.33,-1.43,0.67,1.61,Bicep-curl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
